Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2019,Pacific,WA,Passenger,22,26,48,"15,869","15,917",0.30
February 28 2019,Pend Oreille,WA,Passenger,5,5,10,"9,486","9,496",0.11
February 28 2019,Pend Oreille,WA,Truck,0,0,0,"5,737","5,737",0.00
February 28 2019,Pierce,WA,Passenger,"1,612","1,428","3,040","539,114","542,154",0.56
February 28 2019,Pierce,WA,Truck,0,0,0,"138,970","138,970",0.00
February 28 2019,San Juan,WA,Passenger,193,69,262,"14,276","14,538",1.80
February 28 2019,San Juan,WA,Truck,0,0,0,"5,802","5,802",0.00
February 28 2019,Skagit,WA,Passenger,278,187,465,"91,233","91,698",0.51
February 28 2019,Skagit,WA,Truck,1,0,1,"32,299","32,300",0.00
February 28 2019,Skamania,WA,Passenger,20,15,35,"8,720","8,755",0.40
February 28 2019,Skamania,WA,Truck,0,0,0,"3,991","3,991",0.00
February 28 2019,Snohomish,WA,Passenger,"3,146","1,501","4,647","527,792","532,439",0.87
February 28 2019,Snohomish,WA,Truck,1,0,1,"121,894","121,895",0.00
February 28 2019,Spokane,WA,Passenger,480,385,865,"307,309","308,174",0.28
February 28 2019,Spokane,WA,Truck,1,0,1,"93,908","93,909",0.00
February 28 2019,Stevens,WA,Passenger,18,28,46,"31,737","31,783",0.14
February 28 2019,Stevens,WA,Truck,0,0,0,"18,758","18,758",0.00
February 28 2019,Thurston,WA,Passenger,783,595,"1,378","195,965","197,343",0.70
February 28 2019,Thurston,WA,Truck,0,0,0,"54,917","54,917",0.00
February 28 2019,Wahkiakum,WA,Passenger,1,1,2,"3,021","3,023",0.07
February 28 2019,Wahkiakum,WA,Truck,0,0,0,"1,721","1,721",0.00
February 28 2019,Walla Walla,WA,Passenger,43,54,97,"36,083","36,180",0.27
February 28 2019,Walla Walla,WA,Truck,0,0,0,"13,547","13,547",0.00
February 28 2019,Whatcom,WA,Passenger,788,380,"1,168","149,684","150,852",0.77
February 28 2019,Whatcom,WA,Truck,2,0,2,"42,717","42,719",0.00
February 28 2019,Whitman,WA,Passenger,25,40,65,"22,773","22,838",0.28
February 28 2019,Whitman,WA,Truck,0,0,0,"8,495","8,495",0.00
February 28 2019,Yakima,WA,Truck,0,0,0,"58,799","58,799",0.00
February 28 2019,Yakima,WA,Passenger,86,101,187,"164,489","164,676",0.11
March 31 2019,Adams,WA,Truck,0,0,0,"5,105","5,105",0.00
March 31 2019,Adams,WA,Passenger,4,6,10,"12,633","12,643",0.08
March 31 2019,Asotin,WA,Truck,0,0,0,"6,634","6,634",0.00
March 31 2019,Asotin,WA,Passenger,12,9,21,"12,664","12,685",0.17
March 31 2019,Benton,WA,Truck,0,0,0,"41,534","41,534",0.00
March 31 2019,Benton,WA,Passenger,236,252,488,"133,018","133,506",0.37
March 31 2019,Chelan,WA,Passenger,144,67,211,"54,168","54,379",0.39
March 31 2019,Chelan,WA,Truck,0,0,0,"22,129","22,129",0.00
March 31 2019,Clallam,WA,Passenger,154,130,284,"50,334","50,618",0.56
March 31 2019,Clallam,WA,Truck,0,0,0,"21,617","21,617",0.00
March 31 2019,Clark,WA,Passenger,"1,360",884,"2,244","312,010","314,254",0.71
March 31 2019,Clark,WA,Truck,0,0,0,"80,002","80,002",0.00
March 31 2019,Columbia,WA,Passenger,2,2,4,"2,426","2,430",0.16
March 31 2019,Columbia,WA,Truck,0,0,0,"1,528","1,528",0.00
March 31 2019,Cowlitz,WA,Passenger,84,101,185,"72,552","72,737",0.25
March 31 2019,Cowlitz,WA,Truck,0,0,0,"28,790","28,790",0.00
March 31 2019,Douglas,WA,Truck,0,0,0,"12,157","12,157",0.00
March 31 2019,Douglas,WA,Passenger,53,34,87,"27,892","27,979",0.31
March 31 2019,Ferry,WA,Truck,0,0,0,"3,594","3,594",0.00
March 31 2019,Ferry,WA,Passenger,3,2,5,"4,363","4,368",0.11
March 31 2019,Franklin,WA,Passenger,52,68,120,"59,381","59,501",0.20
March 31 2019,Franklin,WA,Truck,0,0,0,"19,138","19,138",0.00
March 31 2019,Garfield,WA,Truck,0,0,0,954,954,0.00
March 31 2019,Garfield,WA,Passenger,1,1,2,"1,311","1,313",0.15
March 31 2019,Grant,WA,Passenger,34,55,89,"64,228","64,317",0.14
March 31 2019,Grant,WA,Truck,0,0,0,"26,341","26,341",0.00
March 31 2019,Grays Harbor,WA,Truck,0,0,0,"20,376","20,376",0.00
March 31 2019,Grays Harbor,WA,Passenger,69,80,149,"47,599","47,748",0.31
March 31 2019,Island,WA,Passenger,299,234,533,"63,165","63,698",0.84
March 31 2019,Island,WA,Truck,0,0,0,"21,191","21,191",0.00
March 31 2019,Jefferson,WA,Passenger,179,118,297,"24,894","25,191",1.18
March 31 2019,Jefferson,WA,Truck,0,0,0,"9,646","9,646",0.00
March 31 2019,King,WA,Truck,6,1,7,"181,824","181,831",0.00
March 31 2019,King,WA,Passenger,"17,687","6,788","24,475","1,381,818","1,406,293",1.74
March 31 2019,Kitsap,WA,Passenger,997,572,"1,569","179,997","181,566",0.86
March 31 2019,Kitsap,WA,Truck,1,0,1,"53,776","53,777",0.00
March 31 2019,Kittitas,WA,Truck,0,0,0,"14,248","14,248",0.00
March 31 2019,Kittitas,WA,Passenger,71,37,108,"29,444","29,552",0.37
March 31 2019,Klickitat,WA,Truck,0,0,0,"8,209","8,209",0.00
March 31 2019,Klickitat,WA,Passenger,32,31,63,"15,426","15,489",0.41
March 31 2019,Lewis,WA,Passenger,95,90,185,"58,532","58,717",0.32
March 31 2019,Lewis,WA,Truck,0,0,0,"25,764","25,764",0.00
March 31 2019,Lincoln,WA,Passenger,3,6,9,"7,739","7,748",0.12
March 31 2019,Lincoln,WA,Truck,0,0,0,"4,681","4,681",0.00
March 31 2019,Mason,WA,Passenger,114,114,228,"46,729","46,957",0.49
March 31 2019,Mason,WA,Truck,0,0,0,"20,272","20,272",0.00
March 31 2019,Okanogan,WA,Passenger,20,21,41,"25,911","25,952",0.16
March 31 2019,Okanogan,WA,Truck,0,0,0,"16,440","16,440",0.00
March 31 2019,Pacific,WA,Truck,0,0,0,"7,658","7,658",0.00
March 31 2019,Pacific,WA,Passenger,23,26,49,"15,855","15,904",0.31
March 31 2019,Pend Oreille,WA,Passenger,5,5,10,"9,477","9,487",0.11
March 31 2019,Pend Oreille,WA,Truck,0,0,0,"5,721","5,721",0.00
March 31 2019,Pierce,WA,Passenger,"1,636","1,456","3,092","539,655","542,747",0.57
March 31 2019,Pierce,WA,Truck,0,0,0,"139,041","139,041",0.00
March 31 2019,San Juan,WA,Passenger,197,70,267,"14,292","14,559",1.83
March 31 2019,San Juan,WA,Truck,0,0,0,"5,814","5,814",0.00
March 31 2019,Skagit,WA,Passenger,281,189,470,"91,349","91,819",0.51
March 31 2019,Skagit,WA,Truck,1,0,1,"32,264","32,265",0.00
March 31 2019,Skamania,WA,Passenger,21,15,36,"8,727","8,763",0.41
March 31 2019,Skamania,WA,Truck,0,0,0,"4,018","4,018",0.00
March 31 2019,Snohomish,WA,Passenger,"3,197","1,522","4,719","528,119","532,838",0.89
March 31 2019,Snohomish,WA,Truck,1,0,1,"121,928","121,929",0.00
March 31 2019,Spokane,WA,Passenger,490,392,882,"307,852","308,734",0.29
March 31 2019,Spokane,WA,Truck,1,0,1,"94,034","94,035",0.00
March 31 2019,Stevens,WA,Passenger,18,27,45,"31,637","31,682",0.14
March 31 2019,Stevens,WA,Truck,0,0,0,"18,710","18,710",0.00
March 31 2019,Thurston,WA,Passenger,803,599,"1,402","196,264","197,666",0.71
March 31 2019,Thurston,WA,Truck,0,0,0,"54,965","54,965",0.00
March 31 2019,Wahkiakum,WA,Passenger,1,1,2,"3,009","3,011",0.07
March 31 2019,Wahkiakum,WA,Truck,0,0,0,"1,726","1,726",0.00
March 31 2019,Walla Walla,WA,Passenger,44,56,100,"36,082","36,182",0.28
March 31 2019,Walla Walla,WA,Truck,0,0,0,"13,556","13,556",0.00
March 31 2019,Whatcom,WA,Passenger,795,386,"1,181","149,794","150,975",0.78
March 31 2019,Whatcom,WA,Truck,2,0,2,"42,733","42,735",0.00
March 31 2019,Whitman,WA,Truck,0,0,0,"8,507","8,507",0.00
